seed,group,matrix,perturb_type,scale_rel,perturb_seed_idx,t50,t90,auc,unrecovered,baseline_acc
145,pregrok,embed.weight,structured_rank1,0.01,2,1800.0,2000.0,0.494,1.0,0.4885
145,pregrok,embed.weight,structured_rank1,0.02,0,2000.0,2000.0,0.493,1.0,0.4885
145,pregrok,embed.weight,structured_rank1,0.02,1,200.0,2000.0,0.494,1.0,0.4885
145,pregrok,embed.weight,structured_rank1,0.02,2,1000.0,2000.0,0.498,1.0,0.4885
145,pregrok,embed.weight,structured_rank1,0.05,0,1400.0,2000.0,0.496,1.0,0.4885
145,pregrok,embed.weight,structured_rank1,0.05,1,2000.0,2000.0,0.494,1.0,0.4885
145,pregrok,embed.weight,structured_rank1,0.05,2,2000.0,2000.0,0.494,1.0,0.4885
146,grokked,embed.weight,gaussian_random,0.005,0,0.0,0.0,0.918,0.0,0.918
146,grokked,embed.weight,gaussian_random,0.005,1,0.0,0.0,0.907,0.0,0.918
146,grokked,embed.weight,gaussian_random,0.005,2,0.0,0.0,0.92,0.0,0.918
146,grokked,embed.weight,gaussian_random,0.01,0,0.0,0.0,0.916,0.0,0.918
